mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
招生資訊_content_109學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_503.md,109學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-3,3,超連結（檔案）,files/AA/exam/news/109元智大學碩士在職專班正取生報到通知.doc,files/AA/exam/news/109元智大學碩士在職專班正取生報到通知.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\109元智大學碩士在職專班正取生報到通知.doc,admissions/files/AA/exam/news/109元智大學碩士在職專班正取生報到通知.doc,61952,
招生資訊_content_109學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_503.md,109學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-3,4,超連結（檔案）,files/AA/exam/news/109元智大學碩士在職專班備取生報到注意事項.doc,files/AA/exam/news/109元智大學碩士在職專班備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\109元智大學碩士在職專班備取生報到注意事項.doc,admissions/files/AA/exam/news/109元智大學碩士在職專班備取生報到注意事項.doc,57856,
招生資訊_content_109學年度碩士班、博士班甄試入學正取生報到通知_483.md,109學年度碩士班、博士班甄試入學正取生報到通知,https://www.yzu.edu.tw/admissions/index.php/tw/109-4,1,超連結（檔案）,files/AA/aplexam/news/109元智大學碩博甄試正取生報到通知.doc,files/AA/aplexam/news/109元智大學碩博甄試正取生報到通知.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\news\109元智大學碩博甄試正取生報到通知.doc,admissions/files/AA/aplexam/news/109元智大學碩博甄試正取生報到通知.doc,61952,
招生資訊_content_109學年度碩士班、博士班甄試入學備取生報到注意事項_484.md,109學年度碩士班、博士班甄試入學備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-5,2,超連結（檔案）,files/AA/aplexam/news/109元智大學碩博甄試備取生報到注意事項.doc,files/AA/aplexam/news/109元智大學碩博甄試備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\news\109元智大學碩博甄試備取生報到注意事項.doc,admissions/files/AA/aplexam/news/109元智大學碩博甄試備取生報到注意事項.doc,57856,
招生資訊_content_109學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_502.md,109學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-5,4,超連結（檔案）,files/AA/exam/news/109元智大學碩士班正取生報到通知.doc,files/AA/exam/news/109元智大學碩士班正取生報到通知.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\109元智大學碩士班正取生報到通知.doc,admissions/files/AA/exam/news/109元智大學碩士班正取生報到通知.doc,62464,
招生資訊_content_109學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_502.md,109學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-5,5,超連結（檔案）,files/AA/exam/news/109元智大學碩士班備取生報到注意事項.doc,files/AA/exam/news/109元智大學碩士班備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\109元智大學碩士班備取生報到注意事項.doc,admissions/files/AA/exam/news/109元智大學碩士班備取生報到注意事項.doc,58880,
招生資訊_content_110學年度博士班正取生報到通知_597.md,110學年度博士班正取生報到通知,https://www.yzu.edu.tw/admissions/index.php/tw/110-4,4,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_110學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_579.md,110學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/110-3,5,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_110學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_578.md,110學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/110-4,6,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_111學年度大學身心障礙甄試統一分發已錄取者請注意_667.md,111學年度大學身心障礙甄試統一分發已錄取者請注意,https://www.yzu.edu.tw/admissions/index.php/tw/111-2,3,超連結（檔案）,files/Undergraduate_Program/111/元智大學111學年度身心障礙學生甄試錄取新生通訊報到表.doc,files/Undergraduate_Program/111/元智大學111學年度身心障礙學生甄試錄取新生通訊報到表.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\Undergraduate_Program\111\元智大學111學年度身心障礙學生甄試錄取新生通訊報到表.doc,admissions/files/Undergraduate_Program/111/元智大學111學年度身心障礙學生甄試錄取新生通訊報到表.doc,39936,
