assetId,priority,ocrStatus,resolvedRelativePath,resolvedPath,extension,sourceBytes,sourceMtime,sourceSha1,cachedOcrMarkdownPath,ocrMarkdownPath,ocrGeneratedAt,ocrChars,ocrDurationSec,attemptCount,lastError,linkedMdCount,linkedMdPaths,articleUpdatedDates,maxArticleUpdatedDate,articleUrls,needsReocr,mineruTaskId,errorCategory
25ad2f4b033af6af,20,error,admin/ga/files/GBN4OI4PMQVE-20260202093246.pdf,/mnt/project/input/www/admin/ga/files/GBN4OI4PMQVE-20260202093246.pdf,.pdf,290748,2026-05-21T09:54:34,,,,,,157.40,1,Failed to submit parsing task: 400 Unsupported file type: txt,1,總務處_content_綠色採購_74.md,2026/2/2 上午 02:09:43,2026/2/2 上午 02:09:43,https://www.yzu.edu.tw/admin/ga/index.php/tw/2016-03-17-10-59-25,Y,,unsupported_file_type
ff1a6b9ec7401cd4,20,error,admin/so/files/meeting/108-1/李生_0518申訴-3_-_複製.pdf,/mnt/project/input/www/admin/so/files/meeting/108-1/李生_0518申訴-3_-_複製.pdf,.pdf,440848,2026-05-21T10:36:50,,,,,,,1,Preflight unsupported file: pdfium could not open PDF: Failed to load document (PDFium: Incorrect password error).,1,秘書室_content_108-1行政會議_442.md,2026/5/19 上午 11:15:05,2026/5/19 上午 11:15:05,https://www.yzu.edu.tw/admin/so/index.php/tw/?option=com_content&view=article&id=442,Y,,password_or_encrypted_pdf
c1006200de0e40fb,40,error,admin/st/images/111衛保組_健促/20251008161349A09000000E_1140106636_senddoc1_Attach3.jpg,/mnt/project/input/www/admin/st/images/111衛保組_健促/20251008161349A09000000E_1140106636_senddoc1_Attach3.jpg,.jpg,1050888,2026-05-21T10:55:50,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: unknown,1,學務處_content_【衛保組公告】轉知衛生福利部國民健康署辦理「創意拒菸‧等你出_6327.md,2025/10/9 上午 07:41:11,2025/10/9 上午 07:41:11,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=6327,Y,,unsupported_file_type
a8ed89766c078129,40,error,admin/rd/files/202410251354450003197_2025_ATZG_海報.jpg,/mnt/project/input/www/admin/rd/files/202410251354450003197_2025_ATZG_海報.jpg,.jpg,1172946,2026-05-21T10:24:30,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: unknown,1,研究發展處_content_國家太空中心「2025國際太空站(ISS)零重力實驗提案比賽_7023.md,2024/10/28 上午 03:28:08,2024/10/28 上午 03:28:08,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=7023,Y,,unsupported_file_type
a5957f2f106a8477,40,error,admin/rd/files/202410251354450003197_2025_ATZG_海報_1.jpg,/mnt/project/input/www/admin/rd/files/202410251354450003197_2025_ATZG_海報_1.jpg,.jpg,1172946,2026-05-21T10:24:30,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: unknown,1,研究發展處_content_國家太空中心「2025國際太空站(ISS)零重力實驗提案比賽_7032.md,2024/10/30 上午 05:56:38,2024/10/30 上午 05:56:38,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=7032,Y,,unsupported_file_type
00c0f3f1fe49354f,40,error,admin/rd/files/最新消息/201811161541231070036147A-0.jpg,/mnt/project/input/www/admin/rd/files/最新消息/201811161541231070036147A-0.jpg,.jpg,1387609,2026-05-21T10:30:22,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: psd,1,研究發展處_content_國立政治大學「107年第4次研究倫理工作坊」_2147.md,2018/11/19 上午 05:49:04,2018/11/19 上午 05:49:04,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=2147,Y,,unsupported_file_type
641f1d098c3a9cc7,40,error,admin/rd/files/最新消息/201909101546451080028290A-0.jpg,/mnt/project/input/www/admin/rd/files/最新消息/201909101546451080028290A-0.jpg,.jpg,1387609,2026-05-21T10:30:08,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: psd,1,研究發展處_content_國立政治大學「108年第3次研究倫理工作坊」_2696.md,2019/9/11 上午 05:12:14,2019/9/11 上午 05:12:14,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=2696,Y,,unsupported_file_type
40cfdc8aca244bc8,40,error,library/images/main/news/1111/20220923-nature-shi.jpg,/mnt/project/input/www/library/images/main/news/1111/20220923-nature-shi.jpg,.jpg,1435456,2026-05-21T11:15:54,,,,,,,1,Preflight unsupported file: jpeg extension with non-jpeg content,1,圖書館_content_後疫情時代．講座_1542.md,2022/12/6 上午 01:58:40,2022/12/6 上午 01:58:40,https://www.yzu.edu.tw/library/index.php/tw/20220923-1,Y,,extension_content_mismatch
c7ba1169d74d6e8f,40,error,admin/rd/files/最新消息/201811091131501070095579-0-2.jpg,/mnt/project/input/www/admin/rd/files/最新消息/201811091131501070095579-0-2.jpg,.jpg,1579850,2026-05-21T10:30:22,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: psd,1,研究發展處_content_國立臺灣大學「星空下的科技創意─地球到宇宙的觀察方法」_2131.md,2018/11/12 上午 05:39:16,2018/11/12 上午 05:39:16,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=2131,Y,,unsupported_file_type
6a9a0dd93f36c522,40,error,admin/rd/files/最新消息/20200116132355南華永續字第1090100081號_附件一.jpg,/mnt/project/input/www/admin/rd/files/最新消息/20200116132355南華永續字第1090100081號_附件一.jpg,.jpg,1752232,2026-05-21T10:29:54,,,,,,,1,Preflight unsupported file: MinerU detected unsupported file type: unknown,1,研究發展處_content_南華大學辦理「第四屆永續發展與綠色科技研討會」_2947.md,2020/1/17 上午 03:30:24,2020/1/17 上午 03:30:24,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=2947,Y,,unsupported_file_type
