assetId,ocrStatus,actualOcrChars,statusOcrChars,sourceBytes,extension,resolvedRelativePath,ocrMarkdownPath,linkedMdCount_status,linkedMdCount_manifest,linkedMdPaths,relationSamples
55e8cec1f9e061ea,completed_cached,490454,0,1284858,.pdf,admin/aa/files/1142優選資格名單1141022.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/55e8cec1f9e061ea_1142優選資格名單1141022.md,1,1,教務處_content_【公告】1142學期優選資格名單_2041.md,教務處_content_【公告】1142學期優選資格名單_2041.md#OCR1 files/1142優選資格名單1141022.pdf
88d752cc69774ff5,completed_cached,489634,0,103294,.xlsx,library/files/files/text/2020_JSTOR_Collection_List.xlsx,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/88d752cc69774ff5_2020_JSTOR_Collection_List.md,1,1,圖書館_content_【迎新】新鮮人璀璨時光：中秋主題書展_1179.md,圖書館_content_【迎新】新鮮人璀璨時光：中秋主題書展_1179.md#OCR8 files/files/text/2020_JSTOR_Collection_List.xlsx
0e79516235687546,completed_cached,485489,0,331820,.pdf,admin/aa/files/aatsc/107/1081priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/0e79516235687546_1081priority.md,2,2,教務處_content_【1081優選名單】填完所有每次課程之課程問卷（舊生需填10_782.md | 教務處_content_【Priority Course Selection Sho_783.md,教務處_content_【1081優選名單】填完所有每次課程之課程問卷（舊生需填10_782.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/107/1081priority.pdf | 教務處_content_【Priority Course Selection Sho_783.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/107/1081priority.pdf
31339abc499c7da3,completed_cached,470358,0,363950,.pdf,admin/aa/files/aatsc/111/1112priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/31339abc499c7da3_1112priority.md,2,2,教務處_content_【1112優選名單】填完所有每次課程之課程問卷（舊生需填11_1296.md | 教務處_content_【Priority Course Selection Sho_1297.md,教務處_content_【1112優選名單】填完所有每次課程之課程問卷（舊生需填11_1296.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/111/1112priority.pdf | 教務處_content_【Priority Course Selection Sho_1297.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/111/1112priority.pdf
d82fc5ba80c79236,completed_cached,468250,0,364052,.pdf,admin/aa/files/aatsc/108/1091priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/d82fc5ba80c79236_1091priority.md,2,2,教務處_content_【1091優選名單】填完所有每次課程之課程問卷（舊生需填10_913.md | 教務處_content_【Priority Course Selection Sho_914.md,教務處_content_【1091優選名單】填完所有每次課程之課程問卷（舊生需填10_913.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/108/1091priority.pdf | 教務處_content_【Priority Course Selection Sho_914.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/108/1091priority.pdf
9932895caa453063,completed,464057,464057,360095,.pdf,admin/aa/files/aatsc/110/1111priority.pdf,/mnt/project/output/ocr_run/ocr_md_assets/9932895caa453063_1111priority.md,2,2,教務處_content_【1111優選名單】填完所有每次課程之課程問卷（舊生需填11_1165.md | 教務處_content_【Priority Course Selection Sho_1166.md,教務處_content_【1111優選名單】填完所有每次課程之課程問卷（舊生需填11_1165.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/110/1111priority.pdf | 教務處_content_【Priority Course Selection Sho_1166.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/110/1111priority.pdf
3a3c0e5e203cd62f,completed_cached,464039,0,1288674,.pdf,admin/aa/files/1142_Semester_Priority_Course_Selection_List_20251022.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/3a3c0e5e203cd62f_1142_Semester_Priority_Course_Selection_List_20251022.md,1,1,教務處_content_[Announcement] 1142 Semester P_2042.md,教務處_content_[Announcement] 1142 Semester P_2042.md#OCR1 files/1142_Semester_Priority_Course_Selection_List_20251022.pdf
3c95990fda8f3fbf,completed_cached,461775,0,1184166,.pdf,admin/aa/files/1151優選資格名單20260411.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/3c95990fda8f3fbf_1151優選資格名單20260411.md,1,1,教務處_content_【公告】1151學期優選資格名單_2192.md,教務處_content_【公告】1151學期優選資格名單_2192.md#OCR1 files/1151優選資格名單20260411.pdf
d19789c5cc01cc4d,completed_cached,457331,0,1172487,.pdf,admin/aa/files/1151_Semester_Priority_Course_Selection_List_20260411.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/d19789c5cc01cc4d_1151_Semester_Priority_Course_Selection_List_20260411.md,1,1,教務處_content_[Announcement] 1151 Semester P_2193.md,教務處_content_[Announcement] 1151 Semester P_2193.md#OCR1 files/1151_Semester_Priority_Course_Selection_List_20260411.pdf
95ce980409538080,completed_cached,447352,0,383517,.pdf,admin/aa/files/aatsc/113/1132priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/95ce980409538080_1132priority.md,1,1,教務處_content_【1132優選名單_1132priority】填完所有每次課_1773.md,教務處_content_【1132優選名單_1132priority】填完所有每次課_1773.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/113/1132priority.pdf
