mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,1,超連結（檔案）,files/107學年度優先住宿通過申請名單-本國生.pdf,files/107學年度優先住宿通過申請名單-本國生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,2,超連結（檔案）,files/107學年度優先住宿通過申請名單-陸生.pdf,files/107學年度優先住宿通過申請名單-陸生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,3,超連結（檔案）,files/107學年度優先住宿通過申請名單-僑生1.pdf,files/107學年度優先住宿通過申請名單-僑生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,4,超連結（檔案）,files/107學年度優先住宿通過申請名單-校隊.pdf,files/107學年度優先住宿通過申請名單-校隊.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,5,超連結（檔案）,files/107學年度優先住宿通過申請名單-網管人員.pdf,files/107學年度優先住宿通過申請名單-網管人員.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,6,超連結（檔案）,files/附件四107學年度可優先住宿名單-陸籍學位生1.pdf,files/附件四107學年度可優先住宿名單-陸籍學位生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,7,超連結（檔案）,files/107學年度優先住宿名單-僑生.pdf,files/107學年度優先住宿名單-僑生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項_1421.md,【住宿訊息】公告107學年可優先住宿名單及預繳保證金作業事項（含陸生、僑生、外籍生）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1421,8,超連結（檔案）,files/107學年度優先住宿名單-外籍學位生.pdf,files/107學年度優先住宿名單-外籍學位生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度「研究所新生」中籤名單及預繳保證_1490.md,【住宿訊息】公告107學年度「研究所新生」中籤名單及預繳保證金作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1490,1,超連結（檔案）,files/研究所新生中籤名單.pdf,files/研究所新生中籤名單.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,1,超連結（網站）,https://www.yzu.edu.tw/admin/st/files/%E5%AE%BF%E8%88%8D%E7%AE%A1%E7%90%86%E8%A6%8F%E5%89%870315.pdf,https://www.yzu.edu.tw/admin/st/files/宿舍管理規則0315.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,2,超連結（檔案）,files/1071床位分配資料_本國男生2.pdf,files/1071床位分配資料_本國男生2.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,3,超連結（檔案）,files/1071床位分配資料_本國女生1.pdf,files/1071床位分配資料_本國女生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,4,超連結（檔案）,files/1071床位分配資料_本國研究生1.pdf,files/1071床位分配資料_本國研究生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,5,超連結（檔案）,files/1071床位分配資料_僑生1.pdf,files/1071床位分配資料_僑生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,6,超連結（檔案）,files/1071床位分配資料_陸籍學位生1.pdf,files/1071床位分配資料_陸籍學位生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,7,超連結（檔案）,files/1071床位分配資料_外籍學位生1.pdf,files/1071床位分配資料_外籍學位生1.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,8,超連結（檔案）,files/1071床位分配資料_交換生及雙聯生.pdf,files/1071床位分配資料_交換生及雙聯生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告107學年度床位分配_1464.md,【住宿訊息】公告107學年度床位分配,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1464,9,超連結（檔案）,files/住宿生放棄床位不續住申請__Application_Procedure_of_Dormitory_Discontinuity_or_Give_up_bed_capacity_2018_n.pdf,files/住宿生放棄床位不續住申請__Application_Procedure_of_Dormitory_Discontinuity_or_Give_up_bed_capacity_2018_n.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
